,layer_id,name,D,Lambda,M,N,Q,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_fingers,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,6,Conv2d,0.15879670744318564,-1.0,32.0,64.0,2.0,6.523345056173559,-3.0559145875516287,power_law,0.8892582844354743,True,0.3400492207570392,LAYER_TYPE.CONV2D,-2.3277890604186524,1.2200196763061688,-0.46845821602822835,model.1.conv,288.0,16.596620989981396,288.0,0.0,22.0,0.0,9.0,1.177581122655422,0.3400492207570392,48.806525576012035,0.5831373944080753,under-trained,0.0,0.3400492207570392,0.2082529508487828
0,9,Conv2d,0.11629899778757125,-1.0,64.0,64.0,1.0,2.2145324342988553,0.14046988277998312,power_law,0.8367900061465888,True,1.1572600045987007,LAYER_TYPE.CONV2D,1.0325327336805634,1.5921768514830268,0.06343094397913274,model.2.conv,576.0,39.100008470769275,576.0,0.0,114.0,0.0,9.0,0.11375138456700838,1.1572600045987007,33.78671025991938,1.0757601984637193,success,3.0,1.1572600045987007,0.09263247181723039
0,12,Conv2d,0.08910134379385748,-1.0,64.0,128.0,2.0,3.603600274072818,-0.3941432167006857,power_law,0.9134026720358442,True,0.7773653100244187,LAYER_TYPE.CONV2D,0.22094306735328303,1.6478743001651595,-0.1093748436907576,model.3.conv,576.0,44.45025944333355,576.0,0.0,68.0,0.0,9.0,0.3157329099085094,0.7773653100244187,57.18065736936123,0.8816832254412118,success,0.0,0.7773653100244187,0.18654644339036286
0,15,Conv2d,0.18834113299134814,-1.0,64.0,128.0,2.0,4.607895851792691,2.3534359078940756,lognormal,0.9131098516218054,True,3.2414536964107246,LAYER_TYPE.CONV2D,2.8869603367697314,1.7617797286517016,0.5107398221638358,model.4.conv,64.0,57.78029151784663,64.0,0.0,13.0,0.0,1.0,1.000650268474798,3.2414536964107246,17.825425543430402,1.8004037592747701,success,0.0,3.2414536964107246,1.6530018415159686
0,18,Conv2d,0.21158257444988626,-1.0,64.0,128.0,2.0,2.274097211559194,1.038877873403151,power_law,0.8882312650905697,True,2.8630629631343427,LAYER_TYPE.CONV2D,1.8576853815694672,1.6405398340418436,0.45683089892663953,model.5.conv,64.0,43.70587648176132,64.0,0.0,29.0,0.0,1.0,0.23659391257092333,2.8630629631343427,15.265426239147128,1.6920587942309637,success,0.0,2.8630629631343427,0.5037153557343798
0,21,Conv2d,0.11146795637718399,-1.0,64.0,64.0,1.0,2.827386509764566,-0.1867087765374971,power_law,0.8630081039425584,True,0.858942681255474,LAYER_TYPE.CONV2D,0.5832833564329281,1.5510886611083927,-0.0660358164307165,model.6.conv,576.0,35.57039280238721,576.0,0.0,72.0,0.0,9.0,0.2153595654838903,0.858942681255474,41.41183524655653,0.9267916061636909,success,4.0,0.858942681255474,0.1453234463952616
0,24,Conv2d,0.10525021380498156,-1.0,64.0,64.0,1.0,5.926353373273462,-0.667154666003522,power_law,0.8941124768483426,True,0.7716596120739285,LAYER_TYPE.CONV2D,-0.37570147480401767,1.6873647122994764,-0.11257422971303761,model.7.conv,576.0,48.68158528347123,576.0,0.0,26.0,0.0,9.0,0.9661373838913471,0.7716596120739285,63.0868643657967,0.878441581480481,success,1.0,0.7716596120739285,0.3443204154559281
0,27,Conv2d,0.1344284129399802,-1.0,64.0,64.0,1.0,13.804482827303923,-4.488298043897432,power_law,0.9053952581688713,True,0.4730059768495097,LAYER_TYPE.CONV2D,-4.264000324328916,1.6542547323656995,-0.3251333715320371,model.8.conv,576.0,45.10812054633249,576.0,0.0,9.0,0.0,9.0,4.268160942434641,0.4730059768495097,95.36480034941286,0.6877542997681001,under-trained,3.0,0.4730059768495097,0.36396024419308937
0,30,Conv2d,0.15145709062940116,-1.0,64.0,64.0,1.0,15.54389315943679,-4.195769264283839,power_law,0.9038180128085669,True,0.5371178706303655,LAYER_TYPE.CONV2D,-4.0476861465638985,1.6974625951844198,-0.2699303978254999,model.9.conv,576.0,49.826753944998835,576.0,0.0,11.0,0.0,9.0,4.385148781897125,0.5371178706303655,92.76688911229445,0.7328832585278269,under-trained,3.0,0.5371178706303655,0.40577270917650093
0,34,Conv2d,0.14861597901608026,-1.0,256.0,256.0,1.0,4.5200400996271854,3.5286828673422725,lognormal,0.873097038402442,True,6.034970123831811,LAYER_TYPE.CONV2D,4.039446632416847,2.2963004454380367,0.7806751244603604,model.11.conv,256.0,197.83377832422738,256.0,0.0,18.0,0.0,1.0,0.8296814081649845,6.034970123831811,32.781235741829306,2.456617618562525,success,1.0,6.034970123831811,2.7100822095143235
0,39,Conv2d,0.18409231387739483,-1.0,128.0,256.0,2.0,2.3732486485213142,0.42261585403094676,lognormal,0.9058173900245414,True,1.5068666870591647,LAYER_TYPE.CONV2D,1.398330122131423,1.6065796551827232,0.178074831853065,model.13.conv,128.0,40.418450034107174,128.0,0.0,49.0,0.0,1.0,0.19617837836018776,1.5068666870591647,26.822843972341534,1.227544983721234,success,0.0,1.5068666870591647,0.2755697514032257
0,42,Conv2d,0.14539558928533597,-1.0,128.0,256.0,2.0,2.5908696934443074,1.4072416869603097,power_law,0.9179690506552283,True,3.492642814472573,LAYER_TYPE.CONV2D,2.287741998588845,1.9699534450125236,0.5431541734889491,model.14.conv,128.0,93.31542642654324,128.0,0.0,51.0,0.0,1.0,0.22276631480138087,3.492642814472573,26.71771245541319,1.868861368446727,success,0.0,3.492642814472573,0.6660648523102202
