,layer_id,name,D,Lambda,M,N,Q,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,norm,num_evals,num_fingers,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
0,4,Conv2d,0.1806270406387106,-1.0,12.0,80.0,6.666666666666667,1.3893447661689493,4.266404624772499,power_law,0.6837254079573746,True,1177.0729922405592,LAYER_TYPE.CONV2D,4.939062044407852,3.9148660941731617,3.070803394996695,model.1.conv,108.0,661.7245860357642,8219.891673120921,108.0,0.0,75.0,0.11462486327677365,49.969732392391734,9.746875424349954,0.2220960007288758,0.07551439593887331,31.0,0.584066742335644,0.0,9.0,0.04495766111104295,1177.0729922405592,6.983332152982587,34.308497376605686,over-trained,0.0,495.44599107015006,0.5790864336058987,1177.0729922405592,1.9232899611760426
0,8,Conv2d,0.2552520494466185,-1.0,80.0,80.0,1.0,3.982082936081299,3.6615507003233003,lognormal,0.7288509931693037,True,8.308189405216204,LAYER_TYPE.CONV2D,4.176600473623852,1.9486674368868642,0.9195063887661192,model.2.cv1.conv,80.0,5.467492068682976,88.85204684129695,80.0,0.0,10.0,0.9488799610093386,4.561296037587868,0.0,0.24381149214974296,0.8342574584999088,4.0,1.0132705241114162,0.0,1.0,0.9430174249539219,8.308189405216204,10.694513871519609,2.8823929997861506,success,11.0,2.9759911341818084,0.6418002781311936,8.308189405216204,3.9861091779242104
0,11,Conv2d,0.12299198092159341,-1.0,80.0,80.0,1.0,1.609487644745385,0.19083850106105849,power_law,0.7879884474475358,True,1.3139261728270362,LAYER_TYPE.CONV2D,1.4276398719224943,1.6810127981051501,0.1185709636753679,model.2.cv2.conv,720.0,0.5321821336034616,47.97475859786096,720.0,0.0,307.0,3.874002076447829,0.27276682925660123,0.0,0.2501515940016735,0.5125441311035155,18.0,1.011639157352666,0.0,9.0,0.0347852972187531,1.3139261728270362,36.512522232994826,1.1462661875965094,over-trained,5.0,0.6861142056216644,0.4778137312346668,1.3139261728270362,0.013982061338955493
0,14,Conv2d,0.16666666666666707,-1.0,80.0,80.0,1.0,3.7589074672538465,2.5463043199960245,power_law,0.6879860334147638,True,4.757791735104994,LAYER_TYPE.CONV2D,2.6353375389405356,1.4317061549825847,0.6774054275553326,model.2.cv3.conv,80.0,2.133162933239435,27.021294761294246,80.0,0.0,6.0,1.7206475324491446,1.3843022805087049,0.0,0.26358690758416964,0.648943528381348,7.0,1.0122257649006636,0.0,1.0,1.126319257054369,4.757791735104994,5.679377380459876,2.181236285940841,success,11.0,3.02705199970597,0.3637695451503049,4.757791735104994,1.5601804662431793
0,18,Conv2d,0.19750904154741467,-1.0,64.0,160.0,2.5,2.9857585572848304,1.1204023479967191,power_law,0.8639308992531206,True,2.3727326740385735,LAYER_TYPE.CONV2D,1.633908251565105,1.457745370970186,0.375248810813284,model.3.conv,64.0,1.324702334710245,28.69097922315847,64.0,0.0,16.0,1.4935415239355183,1.18334440969352,0.05998576811916647,0.14984483718041486,0.8932908010253907,1.0,0.9952484806709421,0.0,1.0,0.4964396393212076,2.3727326740385735,12.091956054334693,1.5403677074122832,success,0.0,1.1640147735346924,0.5094201777255212,2.3727326740385735,0.6815585301843895
0,21,Conv2d,0.19999999999999996,-1.0,64.0,160.0,2.5,5.993038572627838,0.8559184565505042,power_law,0.7895365861230527,True,1.3893727599836163,LAYER_TYPE.CONV2D,0.976063301796146,1.100775165988868,0.14281877985230448,model.4.conv,64.0,0.6458292001499967,12.611744562433039,64.0,0.0,5.0,2.2526950461289617,0.5069755739779075,0.025699465830574596,0.2621543864853524,0.7849994609413141,3.0,0.9825497779307873,0.0,1.0,2.232954732534873,1.3893727599836163,9.077293672132853,1.1787165732200495,success,0.0,0.793070552229669,0.42918806595933184,1.3893727599836163,0.7871824803992903
0,24,Conv2d,0.06643380333906512,-1.0,64.0,64.0,1.0,3.327991155539942,3.929708810940818,power_law,0.7316377478557549,True,15.163695836020052,LAYER_TYPE.CONV2D,3.94083087345853,2.0104284137945223,1.1808050644603505,model.5.conv,576.0,3.56861849687572,102.43029271324525,576.0,0.0,35.0,2.371357514944104,0.7129392830979503,0.0,0.27035325710259217,0.19978019049167614,14.0,1.001136537520722,0.0,9.0,0.3935023260149876,15.163695836020052,6.7549688295600685,3.894059043725461,success,5.0,12.38690065238347,0.18312126632351353,15.163695836020052,0.8693329684350163
0,27,Conv2d,0.08340680337765466,-1.0,64.0,64.0,1.0,2.5042394652816102,0.15111379367204328,power_law,0.8361981674221687,True,1.1490612744042303,LAYER_TYPE.CONV2D,0.7071001706295996,1.4823678541170286,0.06034318832805793,model.6.conv,576.0,0.4200955544260541,30.364620253855666,576.0,0.0,104.0,4.355392657670742,0.21502155640048337,0.0,0.15677753727979685,0.5118396377563471,8.0,1.009806866620241,0.0,9.0,0.14750281512667898,1.1490612744042303,26.425588373952667,1.0719427570557256,success,8.0,0.6296686045491561,0.4520147719053285,1.1490612744042303,0.09070249529721763
0,30,Conv2d,0.11827616139040831,-1.0,64.0,64.0,1.0,3.5450503553205817,-1.030334855708152,power_law,0.8444482000849661,True,0.5121056876607611,LAYER_TYPE.CONV2D,-0.3804917955638212,1.319919725614375,-0.29064040068197505,model.7.conv,576.0,0.24576459918119845,20.889099839630447,576.0,0.0,41.0,5.251113179267813,0.1478341617876596,0.0,0.16853997136614363,0.6015274871978765,7.0,1.0095057218343906,0.0,9.0,0.39747008818634877,0.5121056876607611,40.790603078535234,0.7156156004872736,success,7.0,0.2522467610323791,0.5074322212967156,0.5121056876607611,0.142984717621797
0,33,Conv2d,0.12333648170062483,-1.0,64.0,64.0,1.0,2.311302020317993,-0.05364387757851957,power_law,0.8406768619120167,True,0.9479613352739023,LAYER_TYPE.CONV2D,1.0863572186955386,1.6496824322006944,-0.023209375973780852,model.8.conv,576.0,0.38029114441785306,44.635708449135365,576.0,0.0,115.0,3.5922787199417114,0.31504212397777975,0.0,0.19125354421345547,0.8284235081520079,2.0,1.008148117094653,0.0,9.0,0.12227954390017662,0.9479613352739023,47.08600107222559,0.9736330598710699,success,4.0,0.5056496623636797,0.4665925248759452,0.9479613352739023,0.1133068345226538
